id,name,severity,category,rank_2024,description,detection_pattern,fix_pattern,languages,example_vuln,example_fix
CWE-94,Code Injection,CRITICAL,Injection,11,"Injecting and executing arbitrary code. Jumped 12 positions in 2024!","(eval\\(|new Function\\(|vm\\.runInContext)","Avoid eval, use safe parsers, sandbox execution","all","// BAD: Code injection
eval(userInput)","// GOOD: Safe alternative
JSON.parse(userInput) // for data parsing"
CWE-20,Improper Input Validation,HIGH,Validation,12,"Not validating user input for type, length, format, range.","(parseInt\\(|Number\\(|JSON\\.parse\\()","Schema validation (Zod, Joi), type checking, range validation","all","// BAD: No validation
const age = parseInt(req.body.age)","// GOOD: Schema validation
const schema = z.object({ age: z.number().min(0).max(150) })"
CWE-77,Command Injection,CRITICAL,Injection,13,"Improper neutralization of special elements in a command.","(spawn\\(|execFile\\().*\\$","Use arrays for args, avoid shell, sanitize input","all","// BAD: Command injection risk
spawn('cmd', `/c ${userInput}`)","// GOOD: Separate args
spawn('cmd', ['/c', sanitize(userInput)], { shell: false })"
CWE-287,Improper Authentication,CRITICAL,AuthN,14,"Incorrect or insufficient authentication mechanisms.","(password.*==|token.*===)","Use timing-safe comparison, secure session, MFA","all","// BAD: Timing attack vulnerable
if (token === storedToken)","// GOOD: Timing-safe compare
crypto.timingSafeEqual(Buffer.from(token), Buffer.from(storedToken))"
CWE-269,Improper Privilege Management,HIGH,AuthZ,15,"Flaws in how privileges are assigned, managed, or enforced.","(setRole|addPermission|elevate)","Principle of least privilege, regular audits, separation of duties","all","// BAD: Overly broad permissions
user.role = 'superadmin'","// GOOD: Minimal required permissions
user.permissions = ['read:own_data', 'write:own_data']"
CWE-502,Deserialization of Untrusted Data,CRITICAL,Injection,16,"Deserializing data from untrusted sources without validation.","(pickle\\.load|unserialize|ObjectInputStream|JSON\\.parse\\(.*body)","Avoid native deserialization, use JSON, validate schema","all","// BAD: Unsafe deserialization (Python)
pickle.loads(user_data)","// GOOD: Safe JSON with schema
data = json.loads(user_data); validate(data, schema)"
CWE-200,Exposure of Sensitive Information,MEDIUM,Disclosure,17,"Sensitive data revealed to unauthorized actors.","(console\\.log.*password|log.*secret|res\\.send.*error\\.stack)","Sanitize logs, custom error pages, filter responses","all","// BAD: Expose stack trace
res.status(500).send(error.stack)","// GOOD: Generic error
res.status(500).json({ error: 'Internal server error' })"
CWE-863,Incorrect Authorization,HIGH,AuthZ,18,"Authorization performed incorrectly, leading to unauthorized access.","(if.*role.*!=|unless.*admin)","Centralized authz, policy-based access, audit logs","all","// BAD: Inverted logic
if (user.role != 'admin') allowAccess()","// GOOD: Explicit check
if (user.role === 'admin') allowAccess()"
CWE-918,Server-Side Request Forgery (SSRF),HIGH,Injection,19,"Server makes requests to attacker-controlled URLs.","(fetch\\(|axios\\.|request\\().*user","URL allowlisting, disable redirects, network segmentation","all","// BAD: Fetch user URL
fetch(req.query.url)","// GOOD: Allowlist validation
if (!ALLOWED_HOSTS.includes(new URL(url).host)) throw new Error('Blocked')"
CWE-119,Memory Buffer Bounds,CRITICAL,Memory,20,"Operations that read/write outside intended memory buffer.","(memcpy|memmove|buffer\\[.*\\+)","Bounds checking, AddressSanitizer, safe functions","c,cpp","// BAD: No bounds check
memcpy(dest, src, len)","// GOOD: Check bounds first
if (len <= sizeof(dest)) memcpy(dest, src, len)"
CWE-476,NULL Pointer Dereference,HIGH,Memory,21,"Program attempts to use a pointer that has NULL value.","(->|\\*ptr)(?!.*if.*null)","Null checks, Optional types, smart pointers","c,cpp,java","// BAD: No null check
printf('%s', ptr->name);","// GOOD: Check first
if (ptr != NULL) printf('%s', ptr->name);"
CWE-798,Hard-coded Credentials,CRITICAL,Secrets,22,"Embedding credentials directly into code.","(password.*=.*['\"]|apiKey.*=.*['\"]|secret.*=.*['\"])","Environment variables, secrets manager, rotation","all","// BAD: Hardcoded secret
const API_KEY = 'sk-1234567890'","// GOOD: Environment variable
const API_KEY = process.env.API_KEY"
CWE-190,Integer Overflow,HIGH,Math,23,"Arithmetic creates value larger than max representable.","(\\+\\+|\\+=|\\*=)(?!.*overflow)","Safe math libraries, range checks, big integers","c,cpp,java","// BAD: Potential overflow
int total = a + b;","// GOOD: Check overflow
if (a > INT_MAX - b) throw new Error('Overflow');"
CWE-400,Uncontrolled Resource Consumption,MEDIUM,DoS,24,"Consuming excessive system resources (DoS).","(while.*true|for.*;;|setTimeout.*0)","Rate limiting, timeouts, resource quotas","all","// BAD: Unbounded recursion
function loop() { loop(); }","// GOOD: With limit
function loop(depth = 0) { if (depth > 100) return; loop(depth + 1); }"
CWE-306,Missing Authentication,CRITICAL,AuthN,25,"Critical function lacks proper authentication.","(app\\.(get|post|put|delete)\\()(?!.*auth)","Auth middleware on all protected routes","all","// BAD: No auth
app.delete('/api/users/:id', deleteUser)","// GOOD: Auth middleware
app.delete('/api/users/:id', requireAuth, deleteUser)"
