category,rule_id,rule_name,description,applies_to,severity,example_good,example_bad
Memory,M004,Avoid Memory Leaks,Free allocated memory properly,C++/C,CRITICAL,RAII/unique_ptr auto-deletes,malloc without free
Memory,M005,RAII Pattern,Acquire in constructor release in destructor,C++/Rust,HIGH,~File() { close(); },Manual cleanup calls
Memory,M006,Pool Allocations,Reuse objects in hot paths,all,MEDIUM,Object pool pattern,New allocation per request
Memory,M007,Avoid Large Stack Objects,Keep stack usage reasonable,C++/C/Rust,HIGH,Heap for >1KB objects,char buffer[1000000];
Memory,M008,Zero-Copy When Possible,Avoid unnecessary copies,all,MEDIUM,string_view/span,String copy for read-only
Concurrency,CC001,Thread-Safe by Design,Prefer immutability or message passing,all,CRITICAL,Immutable objects + channels,Shared mutable global
Concurrency,CC002,Avoid Shared Mutable State,Minimize shared state,all,CRITICAL,thread_local or const refs,static mut counter
Concurrency,CC003,Lock Ordering,Consistent lock acquisition order,all,CRITICAL,Always lock A then B,Thread1: B A; Thread2: A B
Concurrency,CC004,Prefer Channels Over Locks,Message passing over mutexes,Go/Rust,HIGH,ch <- data,mutex.Lock(); data
Concurrency,CC005,Async for I/O Sync for CPU,Match pattern to workload,all,HIGH,await fetch(); pool.compute();,await heavyComputation()
Concurrency,CC006,Use Context for Cancellation,Propagate cancellation signals,Go,HIGH,ctx.Done() select,No timeout or cancel
Concurrency,CC007,Limit Concurrency,Bound worker pools,all,HIGH,Semaphore or worker pool,Unbounded goroutine spawn
Concurrency,CC008,Avoid Deadlocks,Design for deadlock prevention,all,CRITICAL,Timeout + lock hierarchy,Circular wait conditions
API,API001,RESTful Resource Naming,Use nouns not verbs for resources,backend,HIGH,GET /api/users,GET /api/getUsers
API,API002,API Versioning,Version your APIs,backend,HIGH,/api/v1/users,/api/users (breaking changes)
API,API003,Consistent Error Format,Structured error responses,backend,HIGH,{error: {code: 'INVALID_EMAIL'}},throw 'Invalid'
API,API004,Pagination for Lists,Don't return unbounded collections,backend,HIGH,?page=2&limit=20,Return 10000 items
API,API005,Idempotent Operations,PUT/DELETE should be idempotent,backend,HIGH,Same result on retry,Side effects on retry
API,API006,Rate Limiting,Protect against abuse,backend,HIGH,429 Too Many Requests,No rate limits
Database,DB001,Parameterized Queries,Prevent SQL injection,backend,CRITICAL,WHERE id = $1,WHERE id = ' + id
Database,DB002,Avoid N+1 Queries,Batch or join related data,backend,HIGH,SELECT with JOIN,Query per item in loop
Database,DB003,Use Indexes,Index frequently queried columns,backend,HIGH,CREATE INDEX on search cols,Full table scan
Database,DB004,Connection Pooling,Reuse database connections,backend,HIGH,Pool with max connections,New connection per query
Database,DB005,Transaction Boundaries,Group related operations,backend,HIGH,BEGIN COMMIT for atomicity,No transaction for multi-op
Database,DB006,Soft Delete Consider,Prefer soft delete for audit,backend,MEDIUM,deleted_at timestamp,Hard delete important data
Anti-Pattern,AP001,God Object,Avoid classes that do everything,all,HIGH,Split into focused classes,UserManagerValidatorLogger
Anti-Pattern,AP002,Magic Numbers,Use named constants,all,HIGH,MAX_RETRY_COUNT = 3,if (count > 3)
Anti-Pattern,AP003,Deep Nesting,Max 3 levels of nesting,all,MEDIUM,Early returns/guard clauses,if { if { if { if
Anti-Pattern,AP004,Premature Abstraction,Don't abstract too early,all,MEDIUM,Rule of 3 before DRY,Interface for 1 implementation
Anti-Pattern,AP005,Stringly Typed,Use types over strings,all,HIGH,enum Status { Active },status = 'active'
Anti-Pattern,AP006,Copy Paste Programming,Extract common code,all,HIGH,Shared utility function,Same code in 5 places
Anti-Pattern,AP007,Callback Hell,Use async/await or promises,JS/TS,HIGH,await sequential();,callback(callback(callback))
Anti-Pattern,AP008,Feature Envy,Keep data and behavior together,all,MEDIUM,Method on owning class,Accessing other object's fields
